article_id,difficulty,query
e86abd6a12cf69dcb716660dcadaffc6,medium,французский певец Джонни Холлидей умер от рака легких
e86abd6a12cf69dcb716660dcadaffc6,hard,"известный музыкант из Франции ушел из жизни после длительной болезни, о которой сообщила его жена агентству новостей"
eca387f1b6e3d38a6414032d710b2d9b,easy,Экипажу рейса Благовещенск – Екатеринбург пришлось связать авиадебошира
eca387f1b6e3d38a6414032d710b2d9b,medium,Пассажира рейса Благовещенск – Екатеринбург связали из-за дебоша
eca387f1b6e3d38a6414032d710b2d9b,hard,Инцидент на борту самолёта между Благовещенском и Екатеринбургом: пассажир устроил скандал и был обездвижен экипажем
ff4b1a915d05acba7600a857718b4713,easy,"У главы Калачинского района изъяли внедорожник за 1,5 миллиона рублей"
ff4b1a915d05acba7600a857718b4713,medium,У чиновника из Калачинского района забрали дорогой внедорожник
ff4b1a915d05acba7600a857718b4713,hard,Проблемы с законом у руководителя муниципалитета из-за роскошного автомобиля
733e0653fe187d8c4c8efe4aeef065b7,easy,"""Шапекоэнсе вышел в Кубок Либертадорес после авиакатастрофы"""
733e0653fe187d8c4c8efe4aeef065b7,medium,"""Бразильский клуб Шапекоэнсе пробился в Либертадорес через год после трагедии"""
733e0653fe187d8c4c8efe4aeef065b7,hard,"""Футбольная команда, пережившая трагедию в небе, вернулась на международную арену через год"""
973200617502fe395f8c77fb02c691f9,easy,Ассиметрия пузырей: статус-кво и биткоин
973200617502fe395f8c77fb02c691f9,medium,Асимметрия биткоина и криптовалют в контексте статуса-кво
973200617502fe395f8c77fb02c691f9,hard,"Анализ различий между традиционными финансовыми системами и биткоином, выявляющий скрытые несоответствия"
359afa661ca0656323a6e84be794d91c,easy,Названы российские цены на Lexus LS подешевел
359afa661ca0656323a6e84be794d91c,medium,Цены на новый Lexus LS в России снизились
359afa661ca0656323a6e84be794d91c,hard,Обновленный флагманский седан Lexus появится в России с более доступной ценой
215b2cba4d56784e9a1aa53bf8fa2996,easy,Сенат одобрил налоговую реформу 51 против 49
215b2cba4d56784e9a1aa53bf8fa2996,medium,Сенат США утвердил проект налоговой реформы с минимальным перевесом голосов
215b2cba4d56784e9a1aa53bf8fa2996,hard,"Американский законодательный орган поддержал финансовую реформу, которая может повлиять на экономическую политику и валютный курс страны"
158e96171f11176a18f7bce2a93cd6cd,easy,Успеть до боя курантов застройщики скидки новогодние предложения
158e96171f11176a18f7bce2a93cd6cd,medium,Как застройщики привлекают покупателей перед праздниками скидки и экзотические предложения
158e96171f11176a18f7bce2a93cd6cd,hard,Новогодний бум на рынке недвижимости: необычные способы привлечения клиентов перед праздниками
ac1026654a55efe82638f1b3d2d20ce9,easy,Пожизненный срок или лечение: в пермском суде начался процесс по делу маньяка-педофила
ac1026654a55efe82638f1b3d2d20ce9,medium,"В Пермском краевом суде начался процесс над маньяком, пойманным в Оренбурге при попытке похитить девочку"
ac1026654a55efe82638f1b3d2d20ce9,hard,"В Перми начался судебный процесс над бывшим сотрудником ГИБДД, подозреваемым в серии преступлений против детей, включая убийство первоклассника из Краснокамска"
636c352e8336673c195504727862009c,easy,Футбольные клубы Китая финансовые убытки 510 млн евро
636c352e8336673c195504727862009c,medium,Китайские футбольные команды финансовые трудности суммарный долг
636c352e8336673c195504727862009c,hard,Экономические проблемы в китайском футболе значительные долги клубов Суперлиги
5510d8d9947b0badf27989399afc67f8,easy,Brexit промышленники требуют переходного периода
5510d8d9947b0badf27989399afc67f8,medium,британские компании призывают к соглашению о переходном периоде после Brexit
5510d8d9947b0badf27989399afc67f8,hard,"британские предприятия просят урегулировать условия выхода из ЕС до праздников, чтобы избежать неопределенности в следующем году"
acdbc141df4f41c77649f7eb732407b5,easy,Рост занятости в частном секторе США замедлился в ноябре ADP Research Institute
acdbc141df4f41c77649f7eb732407b5,medium,Снижение темпов создания рабочих мест в частном секторе США в ноябре
acdbc141df4f41c77649f7eb732407b5,hard,Экономические показатели США в ноябре: влияние ураганов на рынок труда и создание рабочих мест
f19041e7e3614cc95aa674f592a84430,easy,Моисеев криптовалюты уголовная ответственность расчеты суррогаты
f19041e7e3614cc95aa674f592a84430,medium,Минфин Моисеев криптовалюты уголовная ответственность майнинг налог
f19041e7e3614cc95aa674f592a84430,hard,"Замминистра финансов озвучил планы по регулированию криптовалют, включая уголовное наказание за незаконные финансовые операции и возможное налогообложение добычи цифровых активов"
6d62b59cd51be7c90f8eeb54a60ef3a4,easy,Продают лимузин Путину не понравился 70 млн рублей
6d62b59cd51be7c90f8eeb54a60ef3a4,medium,Продажа роскошного ЗИЛа президента РФ не устроил цена
6d62b59cd51be7c90f8eeb54a60ef3a4,hard,Эксклюзивный автомобиль отечественного производства выставлен на продажу после неудачной попытки использования высшим руководством страны
d7647f9f6ab25ae33c6864f732416daa,easy,Вячеслав Володин подписал запрет на вход иноагентам-СМИ в Госдуму
d7647f9f6ab25ae33c6864f732416daa,medium,Председатель Госдумы Володин подписал постановление о запрете иностранным СМИ-иноагентам посещать здание
d7647f9f6ab25ae33c6864f732416daa,hard,"Руководство Государственной думы ввело ограничения на доступ для американских журналистов, признанных иностранными агентами"
3110988941c92b9a81678975751216e5,easy,Суд Франции увеличил залог для Керимова до 40 млн евро
3110988941c92b9a81678975751216e5,medium,"Апелляционный суд Экс-ан-Прованс отказал в аресте Керимова, но увеличил залог до 40 млн евро"
3110988941c92b9a81678975751216e5,hard,"Французский суд отказал прокуратуре в аресте российского политика, но значительно повысил сумму, необходимую для освобождения под залог"
5c38d297ed8c662113240ccdfde35d9d,easy,Шотландец вернёт золотую корону Турции наследство 250 тысяч фунтов
5c38d297ed8c662113240ccdfde35d9d,medium,Житель Эдинбурга должен вернуть Турции унаследованную золотую корону стоимостью 350 тысяч долларов
5c38d297ed8c662113240ccdfde35d9d,hard,"Суд обязал шотландца вернуть Турции драгоценность, якобы полученную в наследство, стоимостью в сотни тысяч долларов, связанную с раскопками"
d026935b66e6870c3c91b498cebbb09e,easy,"Рост ""пробок"" в Москве с 15 декабря 29 декабря спад"
d026935b66e6870c3c91b498cebbb09e,medium,Увеличение загруженности дорог в Москве с 15 декабря пик 25-28 декабря
d026935b66e6870c3c91b498cebbb09e,hard,Прогноз на декабрь: как изменится ситуация с пробками в Москве перед новогодними праздниками
6440bfae1bbfb1d74e93d600a2070311,easy,Песков считает Путина самым сильным кандидатом на президентских выборах 2018 года
6440bfae1bbfb1d74e93d600a2070311,medium,Пресс-секретарь Путина оценил шансы президента на выборах 2018
6440bfae1bbfb1d74e93d600a2070311,hard,Официальный представитель Кремля высказался о политических перспективах действующего президента на предстоящих выборах
09615146809f8a5e738c01baff785e2f,easy,Самый совершенный охотник за планетами VLT ESPRESSO
09615146809f8a5e738c01baff785e2f,medium,Начало наблюдений на Очень Большом Телескопе с новым спектрографом
09615146809f8a5e738c01baff785e2f,hard,Инновационный инструмент для поиска экзопланет на крупнейшем наземном телескопе
dc3b311d1e52f33f0e6547d9193b3c9d,easy,Кремль признание Иерусалима столицей Израиля не способствует урегулированию
dc3b311d1e52f33f0e6547d9193b3c9d,medium,Кремль обеспокоен решением Трампа по Иерусалиму
dc3b311d1e52f33f0e6547d9193b3c9d,hard,Реакция России на решение США по статусу Иерусалима и его влияние на ближневосточный конфликт
75573162652bb447982dbbbde083bb0b,easy,Гуманный подход к мигрантам играет против шведов
75573162652bb447982dbbbde083bb0b,medium,Политика открытых границ влияет на социальную систему Швеции
75573162652bb447982dbbbde083bb0b,hard,Как миграционная политика Швеции влияет на её социальную структуру?
99002056c4e8e15aeac870c7a20e056a,easy,"""Живая татуировка бактериальные чернила здоровье"""
99002056c4e8e15aeac870c7a20e056a,medium,"""Татуировка с генно-модифицированными бактериями для мониторинга здоровья"""
99002056c4e8e15aeac870c7a20e056a,hard,"""Инновационная технология временных татуировок, реагирующих на химические вещества и помогающих контролировать состояние организма"""
779bd7770ebd62b380425b621e99bdca,easy,"""Живая татуировка бактериальные чернила здоровье"""
779bd7770ebd62b380425b621e99bdca,medium,"""Татуировка с генно-модифицированными бактериями для мониторинга здоровья"""
779bd7770ebd62b380425b621e99bdca,hard,"""Инновационная технология временных татуировок, реагирующих на химические вещества в организме"""
385bcd435ded2cf76afdec0c6cf91b9f,easy,Российские лыжники поедут на Олимпиаду-2018 Вяльбе
385bcd435ded2cf76afdec0c6cf91b9f,medium,Лыжники России решили участвовать в Олимпийских играх 2018
385bcd435ded2cf76afdec0c6cf91b9f,hard,Федерация лыжных гонок подтвердила участие спортсменов в зимних Олимпийских играх в Пхенчхане
09b598c367a95dc90931c434942b62b8,easy,В Сбербанке произошел второй за неделю сбой
09b598c367a95dc90931c434942b62b8,medium,Проблемы с картами Сбербанка и горячей линией
09b598c367a95dc90931c434942b62b8,hard,Клиенты жалуются на недоступность услуг крупного российского банка в течение недели
15c3f7bc4e8f76ac01ce63cf4ea0f65e,easy,Росприроднадзор неприятный запах Москва сероводород пробы воздуха
15c3f7bc4e8f76ac01ce63cf4ea0f65e,medium,Причины неприятного запаха в Москве проверка Росприроднадзор содержание веществ в воздухе
15c3f7bc4e8f76ac01ce63cf4ea0f65e,hard,Экологический контроль в столице выявление источника неприятного запаха анализ атмосферных проб
2fb11a24a2cdc69e9c239b1e861ef910,easy,Площадь пожаров в Калифорнии возросла до 650 кв. км
2fb11a24a2cdc69e9c239b1e861ef910,medium,Калифорния пожары 650 квадратных километров
2fb11a24a2cdc69e9c239b1e861ef910,hard,"Штат Калифорния борется с масштабными лесными пожарами, эвакуация жителей"
856bd590f81b4100e8bbc371c32fbc7b,easy,Датчанин проиграл суд против бобров компенсация порча имущества
856bd590f81b4100e8bbc371c32fbc7b,medium,Мужчина не получил компенсацию за ущерб от бобрового поселения
856bd590f81b4100e8bbc371c32fbc7b,hard,"Житель Дании не смог добиться возмещения ущерба, нанесённого его собственности животными, известными своими строительными навыками"
bab34614b4129cc31283bce68438232b,easy,В Новосибирске подростка осудят за избиение женщины-полицейского
bab34614b4129cc31283bce68438232b,medium,Подросток в Новосибирске напал на сотрудницу полиции
bab34614b4129cc31283bce68438232b,hard,Новосибирск: инцидент с полицейским при проверке несовершеннолетних
65fcd43070d37bb5af2e3b85aca7e32d,easy,Спектакль Константин Райкин открыл Международный рождественский фестиваль Новосибирск
65fcd43070d37bb5af2e3b85aca7e32d,medium,Открытие драматической программы фестиваля в Новосибирске с участием Райкина
65fcd43070d37bb5af2e3b85aca7e32d,hard,Новосибирский театр Глобус начал фестиваль спектаклем с известным актёром из Москвы
69d0da6f134b327539d1db6e0f4640c0,easy,Некачественные аккумуляторы причина гибели подводной лодки Сан Хуан
69d0da6f134b327539d1db6e0f4640c0,medium,Подлодка Сан Хуан катастрофа из-за немецких компаний взятки
69d0da6f134b327539d1db6e0f4640c0,hard,"Причины трагедии аргентинской подводной лодки, связанные с коррупционными скандалами при ремонте и некачественными комплектующими"
c0515405a51b521482da6f254a0575f1,easy,Инфраструктурный план Трамп на 1 трлн долларов почти готов
c0515405a51b521482da6f254a0575f1,medium,План Трампа по инфраструктуре на триллион долларов близок к завершению
c0515405a51b521482da6f254a0575f1,hard,"Близок к завершению масштабный проект по модернизации инфраструктуры, инициированный действующим президентом США, с бюджетом в триллион долларов"
b2f778781cb96ab99b69abc98143f0d0,easy,Прощание с Леонидом Броневым в Ленкоме сегодня
b2f778781cb96ab99b69abc98143f0d0,medium,Церемония прощания с артистом Леонидом Броневым в Большом зале Ленкома
b2f778781cb96ab99b69abc98143f0d0,hard,"Сегодня в Ленкоме пройдет церемония прощания с известным актером, который проработал в театре более 20 лет и будет похоронен на Новодевичьем кладбище"
289685fbe3e0adb18703a55254f666d0,easy,Правобережье Астрахани и Славянский рынок свяжет маршрут 91
289685fbe3e0adb18703a55254f666d0,medium,Новый автобусный маршрут Астрахань Славянский рынок Грановский
289685fbe3e0adb18703a55254f666d0,hard,"В Астрахани запускают автобус, который будет ходить между правобережной частью города и популярным торговым центром"
2e9cb52960203e905141a715330c8467,easy,В Челябинске протестируют 90-минутный пересадочный билет
2e9cb52960203e905141a715330c8467,medium,В Челябинске запускают тестовый 90-минутный билет для пересадок на общественный транспорт
2e9cb52960203e905141a715330c8467,hard,"В Челябинске вводят новую систему пересадок на транспорт, чтобы упростить передвижение в холодное время года"
aaf6b12185577cc6f2d97bde0e75a238,easy,Путин благородство преданность Отечеству значение
aaf6b12185577cc6f2d97bde0e75a238,medium,Путин о любви к Родине и преданности Отечеству
aaf6b12185577cc6f2d97bde0e75a238,hard,Президент на мероприятии о важности патриотизма и служения стране
c100c2404aa154e908d9237de4705a2d,easy,Ирина Яровая призвала Саакашвили прыгнуть с крыши
c100c2404aa154e908d9237de4705a2d,medium,Яровая о Саакашвили и его действиях на Украине
c100c2404aa154e908d9237de4705a2d,hard,Реакция политиков на выступление Саакашвили в Украине на фоне пресс-конференции Путина
a8943430ae6a2cefa4f578a76e5f7245,easy,Киберспорт бизнес на миллиардах Россия
a8943430ae6a2cefa4f578a76e5f7245,medium,Киберспорт в России развитие и поддержка бизнеса
a8943430ae6a2cefa4f578a76e5f7245,hard,Обсуждение перспектив киберспорта в России на бизнес-встрече
60faac2832d0ecc84929f7819f7734e4,easy,Прокуратура возобновила дело против Родченкова о незаконном обороте сильнодействующих веществ
60faac2832d0ecc84929f7819f7734e4,medium,В России возобновлено уголовное дело против Григория Родченкова по обвинению в незаконном обороте лекарств
60faac2832d0ecc84929f7819f7734e4,hard,"Антидопинговый скандал: российские правоохранители вновь открыли дело против информатора WADA, связанного с фармацевтикой"
346d47a2cf499e0272e4b0f3fe29d44c,easy,Признание Цимбалюка инсайдеры Кремль
346d47a2cf499e0272e4b0f3fe29d44c,medium,Украинский журналист Цимбалюк свитер конференция Путина
346d47a2cf499e0272e4b0f3fe29d44c,hard,Журналист из Украины совпадение с заставкой пресс-конференции президента России
9d276dc7d143c53e8cacdf88e4dad71e,easy,Госдума отклонила предложение сократить новогодние каникулы
9d276dc7d143c53e8cacdf88e4dad71e,medium,Госдума отвергла законопроекты о сокращении праздничных дней
9d276dc7d143c53e8cacdf88e4dad71e,hard,Депутаты отказались менять график нерабочих дней в новогодние праздники
f20f82dddeb511da73930ef71f236fda,easy,Владимир Путин День героев Отечества Кремль благородство бескорыстие преданность
f20f82dddeb511da73930ef71f236fda,medium,Путин прием Георгиевский зал герои Отечества качества патриотизма
f20f82dddeb511da73930ef71f236fda,hard,Президент о значимости патриотических ценностей на официальном мероприятии в Москве
40342c8eb472f1f4a53db9c0fc1ec30e,easy,Михаил Галактионов назначен главным тренером Ахмата
40342c8eb472f1f4a53db9c0fc1ec30e,medium,Галактионов стал новым тренером грозненского Ахмата
40342c8eb472f1f4a53db9c0fc1ec30e,hard,Президент Ахмата объявил о назначении нового наставника на длительный срок
9ce7492adaa5eefe805a9f7633c36326,easy,Президент РФ пообещал развивать армию без втягивания в гонку вооружений
9ce7492adaa5eefe805a9f7633c36326,medium,Путин обещал укреплять оборону без гонки вооружений
9ce7492adaa5eefe805a9f7633c36326,hard,Глава государства о военных расходах и экономической стабильности
d949c94b0099d8292921907dfad59612,easy,Путин 50% гражданской продукции оборонные предприятия
d949c94b0099d8292921907dfad59612,medium,Путин увеличение выпуска мирной продукции ОПК до половины
d949c94b0099d8292921907dfad59612,hard,Президент о необходимости диверсификации оборонной промышленности на высокотехнологичные гражданские товары
0891f49c9ded14a9b05ecd0b5c9443f6,easy,"завершена реконструкция гребного канала ""Дон"" Ростов"
0891f49c9ded14a9b05ecd0b5c9443f6,medium,завершены работы по дноуглублению и берегоукреплению гребного канала в Ростове
0891f49c9ded14a9b05ecd0b5c9443f6,hard,обновление водной арены для гребли в донской столице: итоги строительных мероприятий
11c9df4798c40e68c83a1d4cb8054e7e,easy,Сотрудников Транснефти подловили на майнинге криптовалют
11c9df4798c40e68c83a1d4cb8054e7e,medium,Работники Транснефти использовали оборудование для добычи криптовалют
11c9df4798c40e68c83a1d4cb8054e7e,hard,Вице-президент Транснефти сообщил о незаконном использовании ресурсов компании для криптодобычи
0c0aa8b6f981c1d96a558f68e8c08fd4,easy,Пловец Кирилл Пригода взял золото на двухсотметровке
0c0aa8b6f981c1d96a558f68e8c08fd4,medium,Кирилл Пригода выиграл золотую медаль на 200 метров
0c0aa8b6f981c1d96a558f68e8c08fd4,hard,Российский пловец завоевал высшую награду на дистанции средней длины на чемпионате в Копенгагене
141c03acb74b30e524f4d32e193cea8a,easy,"Взяты под контроль инвестиции, сделки из недружественных стран"
141c03acb74b30e524f4d32e193cea8a,medium,Правительство РФ ужесточило контроль за иностранными инвестициями и сделками с недружественными странами
141c03acb74b30e524f4d32e193cea8a,hard,Новые меры правительства по защите экономики: контроль за транзакциями с иностранными лицами из враждебных стран
ceed9aa7f84e027d7e2e7ddee1b7ada7,easy,"ЦБ РФ передал ""Бинбанк"" в управление ФКБС"
ceed9aa7f84e027d7e2e7ddee1b7ada7,medium,Банк России передал управление Бинбанком Фонду консолидации банковского сектора
ceed9aa7f84e027d7e2e7ddee1b7ada7,hard,Передача Бинбанка под управление государственного фонда для укрепления финансовой стабильности
11de0adf1dd0829979359117c6acb1b3,easy,ВТБ продает евробонды Сбербанка 460 млн евро
11de0adf1dd0829979359117c6acb1b3,medium,ВТБ реализует еврооблигации Сбербанка на сумму до 460 миллионов евро
11de0adf1dd0829979359117c6acb1b3,hard,Банк ВТБ выставляет на продажу значительную часть долговых обязательств крупнейшего российского кредитного учреждения на вторичном рынке с общей стоимостью до 460 миллионов евро
fec6d15374ff2ed26b59d94fdbe10bef,easy,Более 500 гидов помогут гостям Нижегородской области на ЧМ-2018
fec6d15374ff2ed26b59d94fdbe10bef,medium,Гиды с иностранными языками поддержат туристов на чемпионате мира в Нижегородской области
fec6d15374ff2ed26b59d94fdbe10bef,hard,Пресс-тур федеральных СМИ: подготовка к ЧМ-2018 в Нижегородской области с участием многоязычных гидов
5e990eb7f33144dd29f6fef8b2b0e493,easy,Рубль снизился накануне заседания ЦБ
5e990eb7f33144dd29f6fef8b2b0e493,medium,Рубль упал перед заседанием Банка России
5e990eb7f33144dd29f6fef8b2b0e493,hard,Валютные торги на бирже: рубль ослаб перед важным решением регулятора
118100f41aa749c093c7908e59d57cb8,easy,"О Дальнем Востоке расскажут в сети кинотеатров ""Москино"" пять российских работ последних лет"
118100f41aa749c093c7908e59d57cb8,medium,"Бесплатные показы фильмов о Дальнем Востоке в кинотеатрах ""Москино"""
118100f41aa749c093c7908e59d57cb8,hard,"Программа кинотеатров, где можно увидеть короткометражки о природе и народах Дальнего Востока"
4a7fd74fcfc97e870e28a3464b155be2,easy,Ключевая ставка снижена до 11% 27 мая
4a7fd74fcfc97e870e28a3464b155be2,medium,Банк России снизил ключевую ставку до 11% с 27 мая
4a7fd74fcfc97e870e28a3464b155be2,hard,"Центробанк уменьшил процентную ставку, инфляция замедлилась, изменения вступают в силу в конце мая"
1282ce1550cd921841dd62db9b1e5c6c,easy,Совет Федерации назначил президентские выборы на 18 марта 2018 года
1282ce1550cd921841dd62db9b1e5c6c,medium,Верхняя палата парламента утвердила дату выборов президента на март 2018
1282ce1550cd921841dd62db9b1e5c6c,hard,"Парламентское решение о старте избирательной кампании, поддержанное единогласно, и её начало в декабре"
8b4443e3976eaf8839fd766590cbb630,easy,"""Нелюбовь"" Звягинцева шорт-лист Оскар"
8b4443e3976eaf8839fd766590cbb630,medium,"фильм ""Нелюбовь"" Андрея Звягинцева номинация на Оскар"
8b4443e3976eaf8839fd766590cbb630,hard,российский фильм вошел в предварительный список кандидатов на премию Американской академии киноискусств
b2fc9c914e0c5aa3669a2f093d48d8c7,easy,"""Российские саперы и инженеры вернулись из Сирии"""
b2fc9c914e0c5aa3669a2f093d48d8c7,medium,"""Военнослужащие противоминного центра вернулись из Сирии в Нахабино"""
b2fc9c914e0c5aa3669a2f093d48d8c7,hard,"""Возвращение российских военных, участвовавших в операции по отправке техники из Сирии"""
01de790ef33ea4973ccd693cf54d7399,easy,В Петербурге у рабочего завода угнали Bentley в день покупки
01de790ef33ea4973ccd693cf54d7399,medium,В СПб у сотрудника предприятия угнали Бентли сразу после покупки
01de790ef33ea4973ccd693cf54d7399,hard,"Ночью в Петербурге исчезла новая роскошная машина, оставленная у дома молодым человеком, связанным с производством"
7dd7074b59cfe89030b6cfd4df3c7a32,easy,Папа римский Франциск задул свечку на гигантской пицце
7dd7074b59cfe89030b6cfd4df3c7a32,medium,Папа римский отпраздновал день рождения с гигантской пиццей
7dd7074b59cfe89030b6cfd4df3c7a32,hard,Верховный понтифик отметил юбилей необычным десертом во время еженедельной аудиенции
4026d543dd1986e89a865b5fbca7c670,easy,Небывалая московская оттепель сменится гололедицей и снегопадами Евгений Тишковец
4026d543dd1986e89a865b5fbca7c670,medium,Москва оттепель перейдет в гололед и снегопады прогноз Фобос
4026d543dd1986e89a865b5fbca7c670,hard,Ведущий метеоролог предупредил о резкой смене погоды в столице с тепла на снег и лед
391aa9e266a8604137ce598f9732846a,easy,Сборная России по хоккею обыграла Финляндию 3:0
391aa9e266a8604137ce598f9732846a,medium,Российская хоккейная команда победила Финляндию на Евротуре
391aa9e266a8604137ce598f9732846a,hard,"Россия выиграла домашний этап хоккейного Евротура, обыграв всех соперников и набрав максимальное количество очков"
08ade939c15d5a89e2293cad817b9843,easy,Труп британского дипломата Ребекка Дайкс найден на обочине в Бейруте
08ade939c15d5a89e2293cad817b9843,medium,В Бейруте обнаружено тело сотрудницы британского посольства
08ade939c15d5a89e2293cad817b9843,hard,"В Ливане произошло трагическое событие с представителем Великобритании, связанное с обнаружением тела на дороге"
85f7daf1f3b670d5100a7c80224967ff,easy,Рижские шпроты возвращаются на столы россиян
85f7daf1f3b670d5100a7c80224967ff,medium,Россельхознадзор разрешил поставку рыбных консервов из Латвии и Эстонии
85f7daf1f3b670d5100a7c80224967ff,hard,Федеральная служба по ветеринарному и фитосанитарному надзору сняла ограничения на импорт рыбопродукции из Прибалтики
12089f31a12d0eeabc2da05a18ed4b63,easy,Требования к управляющим компаниям ужесточат до конца года Андрей Чибис
12089f31a12d0eeabc2da05a18ed4b63,medium,Ужесточение требований к УК до конца года законопроект Госдума
12089f31a12d0eeabc2da05a18ed4b63,hard,Новые правила для управляющих компаний вступят в силу до конца года замминистра строительства
17d2fb8b643b1d207fad4a4927a8ae2a,easy,Выжившие после Эбола иммунитет 40 лет
17d2fb8b643b1d207fad4a4927a8ae2a,medium,Выжившие пациенты Эбола долгосрочный иммунитет
17d2fb8b643b1d207fad4a4927a8ae2a,hard,"Исследование выживших после вспышки вируса, показавшее длительную защиту организма"
